State,Population,Fatalities,"Fatalities_per_100000"
New South Wales,8072163,239,2.960792541
Queensland,5156138,186,3.607351083
Victoria,6503491,197,3.029142348
Tasmania,557571,21,3.766336485
Western Australia,2660026,106,3.984923456
Northern Territory,232605,9,3.869220352
South Australia,1781516,77,4.322161575
Australian Capital Territory,453890,3,0.660953094
